ID	tweet	labels		
1326040082587869185t	@realDonaldTrump Guess who's gonna get rich before he leaves the white house off of 71 million people he knows will take a shot in the arm if he says so? That's right. Donald Trump now wants science on his side. How much stock in Pfizer did you buy huh?	political		
1336349582184206336t	"@jeffmcnamee @padakitty @Amanda77197114 @alexanderchee BREAKING: FDA announces 2 deaths of Pfizer vaccine trial participants from ""serious adverse events.” Fed Up Democrats Say NO to Forced Vaccines in NY"	side-effect mandatory political		
1354732605258821634t	@blinder_the @darrengrimes_ Apart from the fact that those that have already had covid are immune, so won't need the vaccine. The 'vaccine' isn't the only way to immunity, in fact it doesn't even give immunity, it just lessens the symptoms.	unnecessary ineffective		
1299409840134123522t	@The_Asia_Phile @carolbradshaw @dpakman And then they get to mandate it, safe or not due to social pressure and momentum. And mRNA vaccine tech is has never been tried before on people, so no chance for long term study. Should work in theory. Not sure “	rushed mandatory side-effect		
1342230038964559877t	"@pfizer Lol by injecting people with RNA ""activators"". 😂😂😂🤡🤡🤡"	ingredients		
1355295211690348546t	@DrEricDing That's absolute garbage. I want to be vaccinated but will refuse this one	none		
1375396702614511618t	FORMER GATES FOUNDATION VACCINE SCIENTIST CALLS FOR HALT TO VACCINATIONS, PREDICTS “WIPE OUT” OF POPULATIONS https://t.co/DLIDZ1O532	conspiracy		
1335230012346298369t	@Beachesguy2 @jeannetix Big winners are Fauci and Bill Gates. Fauci has a stake in Moderna through NIH, and Gates gave them 100 million dollars in 2016 for them to develop mRNA vaccines	pharma		
1303734841993818118t	"@delbigtree Look at this headline: ""Oxford and AstraZeneca's COVID vaccine trial is put on HOLD as British volunteer has 'serious' reaction 'that triggered spinal cord infection'"". No, it triggered TM. There was no proof of any ""infection"" that I""ve read "	side-effect		
1337411300859781122t	"21/n 20/n Astra Zeneca (AZ). Anthropology of vaccination. A Swiss radio (broadcasting usual unopposed Globalist propaganda) did a call-in on vaccines. Callers were old and vulnerable. We won't reach them. For them, ""no severe COVID"" is something. But, AZ vax won't slow the spread https://t.co/FGrmb29oxn"	unnecessary ineffective		
1340737166671028228t	This probably won’t get noticed - but someone please advise @hagegeingob Please don’t rush to buy Covid vaccines. Wait at least 6 months - let the west be our guinea pigs. By then we’ll know for sure if they really work and how bad the side effects get. My take	side-effect ineffective		
1232474465142882305t	@pfizer a Pharmaceutical made product mandated? This is a joke right...since they have zero liability. Public health needs to be reevaluated with all of the new science. Money should be invested in true wellness care not drug companies.	mandatory pharma		
1303102943747551233t	@realDonaldTrump nobody wants ur backdoor russian vaccine, but pls u take it first.........	country		
1326371522391519233t	"Now about this Pfizer ""vaccine"". Who is the government tryna give this to again. By my calculations, the people who would want it are the folks who never got Covid19. Be careful of folks giving you a vaccine that will ""protect"" you from a virus for which you already had it. https://t.co/zdJqKENupA"	none		
1388640907180838912t	CDC: Dozens of adverse reactions caused by anxiety, not Johnson & Johnson vaccine Source: https://t.co/Q9jXy5AtXr https://t.co/lC0YLfhEbq	side-effect		
1352931747793670145t	@BorisJohnson @CMO_England @MattHancock THIS IS BEYOND INCOMPETENCE People should refuse this vaccine as it's not going to be administered correctly. Only a matter of time before Covid19 kills one of your patients who have had only a fraction of intended 	none		
1326127263813918721t	If Daddy @POTUS were responsible, it would never have been FDA CDC approved. Would not be called Pfizer vaccine, probably Dr. Bleach Danger Vaccine and no one would take it. If it were his, all Tdumps should get it first. Not his..it is Pfizer and only Pfizers. @realDonaldTrump.	side-effect		
1262598953788338176t	@rishibagree Don’t trust Moderna. He is friend of Trump and got the highest grant of USD350 millions to do trials (with Zero prior experience of Vaccine). He then tied up with some company who was already developing vaccine to show it as his product. Sh	political		
1342315718415552512t	@MDaware Is the Oxford vaccine safe? Some virologists who have studied adenoviruses are concerned regarding the pathogenicity of adenovirus vector. They opine that the cases of transverse myelitis are LIKELY due to the vaccine. Can I have your thoughts/op	side-effect		
1325840834940563458t	I looked up Pfizer the amount of law suits is more than enough for anyone not to trust their vaccine they are not a trustworthy company	ineffective		
1363871279418335238t	@TraceyLouise @slimschutte @AefreBetty @jon_severs @StevenCross81 Ah yes, that good old fashioned vaccine that was trialled over the correct amount of time, and not forced upon every living being on the planet... Even without this new thing, if you're hea	unnecessary rushed mandatory		
1364515802238640128t	@valoakley25 @seasidedad1 @prisoner1968 Not the point that was being made. You can still contract and pass on covid after having the vaccine.	ineffective		
1292535871086964741t	@Ryan66553012 @cocamidemea @Dreaminisfree1 @FalseHeads I am not an anti vaxxer at all, got my son vaccinated , but please look a bit deeper before taking a vaccine AstraZeneca will not take liability for even if they are producing it . This vax is differe	ineffective		
1257696325543407617t	@realDonaldTrump Americans would like to see the cure/remedy NOT the vaccine for covid. Have you changed your position on vaccinations?	none		
1374930325818667009t	E tu Janice? You’re actually drinking the vaccine koolaid? Sad....it’s not necessary let alone safe!	unnecessary		
1438312424474509312t	@WayneJBurrows @nzlabour It's not. But looks like definitely it ties govt to 'outlawing' the 'harmless' early treatments: which is criminal. Our Covid health policy is effectively tied to Pfizer's treasury, taking out our volition entirely: our only choic	pharma political unnecessary		
1255428543720361985t	@nicktolhurst @make_trouble And in the world we live in, it will have to be tested thoroughly before approval. A vaccine with side-effects would be an absolute boon to the anti-vaxxer movement globally. Norway rushed a vaccine for Swineflu in 2009 without	rushed side-effect		
1272868521823830016t	@SenSanders We have immune systems. Vaccines are filled with animal and human DNA, disinfectants, heavy metals, chemicals. For over 30 years the US has paid out over 4 billion In compensations for deaths and injuries because the US gave Pharma liability f	ingredients pharma side-effect		
1296602531339149312t	If we’re all locked down again wearing masks and college, school and work are all online, there is zero reason to get a flu shot. Unless the COVID vaccine is near I cannot see our government killing big Pharmas flu shot landfall of cash.	pharma		
1355514933358723076t	@ndtv Also we have seen that trial vaccine is not acceptable at all. Although it is having lots of side effects too	side-effect rushed		
1375470458406105089t	Dare I suggest something more sinister with Johnson suggesting a vaccine passport aimed at the reopening of pubs would force the young to seek out the vaccine. A vaccine that is experimental offers the individual no protection from getting or passing on the virus	mandatory ineffective		
1347245479499804675t	How many people have to die from this vaccine before it's stopped! Norwegian Nursing Home Patients Dead After Receiving First Dose Of Pfizer COVID Vaccine https://t.co/hz6CvccT7c	side-effect		
1352812879494344704t	Everyone don't take the Pfizer and Morenda vaccine! So many side effects and health complications reports from the US, Norway and UK. #vaccine #auspol #springst #COVID19 #COVID19Vic #PfizerVaccine #pfizercrimeagainsthumanity #CovidVaccine #COVIDVaccination	side-effect		
1290606509345341441t	@nastyoldmrpike @GeodanNew Any vaccine cannot possibly be tested for long term safety, these things normally take years to test. How will it be effective? They cant even cure the common cold after years of research so what makes you believe they can cure 	rushed		
1437471648337129476t	"""the UN children's agency UNICEF"" doesnt know that on Jun 2021 'Italy halts AstraZeneca vaccine for under-60s"" due to clots https://t.co/KslwLfJADr Iraq is fair game I guess https://t.co/95d9kJYzCh"	side-effect		
1361382231869071363t	@j0nhyde It’s not a vaccine and cannot legally be referred to as such. It’s an experimental, liability-free, DNA -altering medical device. In China & Russia they have actual Covid vaccines. This “vaccine” ain’t it.	rushed		
1334879375641227271t	@WarTimeGirl To have 90%+ corona virus efficacy rate. It had to be an advanced vaccine (Nobel prize level). mRNA has me concerned, bc tells cells what DNA to make (or not). I want to read the full published phase 3 study paper with pharmacology, methodolo	rushed		
1371533452038782978t	Three countries in Europe announced today that they are halting the distribution of the AstraZeneca Covid vaccine, as reports of deaths following the vaccines surfaced. #coronavirus | #COVID19 | #Covid_19 https://t.co/dfqFeCcjJv	side-effect		
1328776233572847617t	@NeilTStacey @margiedg5 Katie Hopkins (love her or hate her) , just posted a video saying 1 in 50 million people get covid, 1 in 2 million that get it die and overall recovery for those who do, is 99.7% ,& UK now want to jail you if you speak out against 	unnecessary mandatory		
1376305768916484102t	FYI....there are plenty of people walking around without vaccines for all sorts of contagious diseases/viruses. Why is Covid so different? We must ask why a mandatory vaccine card is even a consideration if the ones who are vaccinated feel that it protects them.	mandatory unnecessary		
1389617970192683011t	"#VAERS 16y♀️#Pfizer died pulmonary embolism suspected #Cardiacarrest #vaccinedeaths #Adolescent ""Symptoms: Cardiac arrest, Circulatory collapse, Computerised tomogram thorax abnormal, Death, Lung assist device therapy, Pulmonary embolism"" https://t.co/dTAdjik8gO"	side-effect		
1350134723834687488t	@GreatGameIndia Convulsions After Receiving The #COVID19 | January 14 - This is what the Pfizer covid19 vaccine has done to my Mom. Everyone please pray for her. She was admitted to the hospital https://t.co/FHquVoACol	side-effect		
1339526371534630912t	So there have been issues, but FDA are so desperate they deny it’s the vaccine FDA reports facial paralysis in 4 volunteers for Pfizer’s Covid-19 vaccine, but FDA denies vaccine is the cause - Business Line https://t.co/nD8gwuxbvu	side-effect		
1374594175023390723t	No vaccine for me, no thanks, keep that needle da fuck away    https://t.co/amPEWS5My1	none		
1372167405330436101t	Garbage vac and and do not want to use and take risk and not effective with Varian covid19 . 19ScienceAlert: The AstraZeneca COVID-19 Vaccine And Risk of Blood Clots: What You Need to Know. https://t.co/29P9eOX7jb via @GoogleNews	ineffective side-effect		
1320321287529680896t	@Cornubian2 @TheRustler83 @BBCPolitics The global vaccine market was worth about £40bn in 2019. How are they going to make trillions?	pharma		
1344226977092423681t	@MattHancock @UniofOxford @AstraZeneca @MHRAgovuk How is this going to affect the people who don’t want or trust the “vaccine” . Why are you hellbent on putting this untried, untested, unproven “vaccine” into people for a virus that killed 377 p	side-effect rushed		
1333147879490326529t	If this is seen as the deadliest disease in our lifetimes, and consequently the vaccine viewed as a miraculous panacea, why is Pfizer’s stock price virtually unchanged from the beginning of the year?	pharma		
1331454756318048257t	I will not take a covid vaccination. Should it be forced onto me, I will force back. You can take your covid vaccine and stick it up your ass!	mandatory		
1433182225932107778t	"Not me! I'm not at all convinced about the efficacy and, above all, the safety of all these ""investigational vaccines"" @US_FDA, currently being TRIALLED worldwide. Moreover, the FDA approval of Pfizer's vaccine, Comirnaty, confirmed my doubts. https://t.co/IfQB3Z9GW3"	ineffective side-effect rushed		
1340329073621516292t	@lukemcgee Hello, I am Scientific Researcher and Singer-song-writer. Once you get the Covid-19's vaccine (Pfizer vaccine) you can infect other. In addition that Pfizer vaccine makes your health goes to bad, it does not prevent people from getting Covid-19	ineffective side-effect		
1338975802717855745t	@PrueLeith In the spirit of fairness and equality, should anyone taking the Pfizer Covid Vaccine sadly pass away within 28 days, will they be labelled as a Vaccine Death, or a Pfizer Death? Warning after 2 people suffer allergic reaction to Pfizer/BioNTec	side-effect		
1350351823438303233t	"COVAXIN takers must sign a consent form saying I know phase 3 trials are underway and efficacy has not been established. So in effect, ""COVID warriors"" are now nothing more than experimental subjects"	rushed		
1346982779490344961t	Miami doctor & husband died from a mystery blood disorder - just days after getting the #Pfizer Covid-19 vaccine. https://t.co/sNGEliNEMV https://t.co/Dna6HhJt6o	side-effect		
1364858912382595073t	If the vulnerable have had a #covid19 'vaccine' (2doses), they are 'protected' from a virus with a +99% survival rate. It's 0.00005% risk to children and 0.1% risk to a healthy 65y.o. To insist healthy 'unvaccinated' people should face restrictions is abhorrent. #NoVaxports	unnecessary mandatory		
1346682618750898184t	@wendyemily2 I intend to get vaccinated but not with the Oxford vaccine. I don’t believe in any medical procedures being compulsory. These opinions don’t make me a bad friend. I think your friend is your friend. It’s a weird time and people are unde	mandatory		
1355509629174878211t	@Tirus56131185 @denvern3 No he said he’s healthy and he isn’t a frontline worker. He’s definitely a frontline worker. He’s always standing in front of frontline workers advertising his vaccine. Why isn’t he taking it? He’s not telling us somet	none		
1371783133343932421t	@ClarkeMicah @Bonsai_Bill Hitchens is unable to grasp that people can be pro vaccine but also have legitimate concerns about covid specific vaccines, which are not allowed to be discussed.	side-effect		
1365441366508011520t	@elaine_hali @Kamou10 @AP Or, March 1st: Paul and Greg and Bob both are offered and take the J&J vaccine.  Bob gets COVID, is permanently disabled, loses his job and home, and ends up dying homeless on the street.  But hey, he got vaccinated...	side-effect		
1403329758692216835t	"@ANI National Vaccine ""Covaxin"" with no phase 3 trial data or peer reviews or real time survey"			
1296007212070912000t	@RealMarkLatham Correct. Any vaccine rollout should be for those in the older/at risk/healthcare workers first, then scale upwards as needed. The damage that has been done through COVID won't be solved by a vaccine. Anyone that disagrees are either dumb/s	ineffective		
1303468936495869955t	AstraZeneca's COVID-19 shot trials on hold after suspected reaction https://t.co/jwjfrWCPr3 via @MailOnline Can’t see many people of song mind having this , loads of older people I know ain’t going to have the flu jab either this year .... Loads have already started taking zinc	side-effect unnecessary		
1365343182142066689t	Health Canada approves use of AstraZeneca's COVID-19 vaccine | CBC News https://t.co/3VBuPtT7v9 The department's regulators have authorized the shot for use in all adults 18 and older, finding the shot had an estimated efficacy rate of 62 per cent. ONLY 62% folks , i won't get it	ineffective		
1339236973618204672t	@MarcLobliner Why is the vaccine considered to be the end all? It’s not. Pfizer stated you may still be able to get Covid...🤦🏽‍♂️	ineffective		
1353258280521494529t	@StayAtHomeUK @ChaosGroupUK In my humble opinion & with respect, we don’t know that. Making a statement that “the vaccine save 💯 of lives”, doesn’t make it true. The #Covid #vaccine has only been around for 5 minutes. We don’t know anything y	ineffective rushed		
1333426842192240640t	@HallieJackson I'm simply not going to trust any vaccine that comes out as long as trump's in office or his fingerprint or his administration's fingerprint is on it anywhere. Moderna's rushing emergency approval through before #46 takes office I don't tru	political rushed		
1094328234827747328t	@jo___bot @Birdpoof @1fellswoop7 @HoarseWisperer He received enough doses of vaccine that he likely has sufficient immunity.  My point is that it is not irrational or anti-science to have concerns about vaccines. There is beginning to be a mob mentality a	none		
1305675565131862017t	@JohnCornyn Plus, Covid-19 is akin to the common cold, which has been around for hundreds of years			
1376733792220680193t	Vaccine would be against my religion Which is the 91st psalm is the best protection there is	religious		
1303169626163953665t	People really, really! cannot fault Democrats or the public for having doubts about a COVID vaccine or Trump's sudden push to have one released. This administration has worked for 4 years to discredit our institutions and he is trying to make this a campaign issue.	political rushed		
1355185075860738048t	I’m scared of that Johnson and Johnson vaccine! They’ve had issues with some of their products in the past! 😫 https://t.co/jNBcf6ph0m	pharma		
1376617550277189635t	@HelenaHandcart0 @jonatho84952843 @Crescen21993055 She isn’t an anti vaxxer. Nor am I. We both have done tons of research and we do not want to take untested and unapproved vaccines that do not finish their clinical trials until 2023. Thousands and thou	rushed side-effect		
1276197889723772930t	Has anyone else noticed the sudden spike in corona terror reporting in the media? Phrases like 'new dangerous phase' and 'a vaccine must be rushed/Africa needs the vaccine now'. One must wonder if the media are being given media handouts with what to say dictated by the ANC.	rushed political		
1365765746689798145t	@Cyclowarrior @msc1269 @mikouseless @ianbrown this vaccine doesnt give you protection	ineffective		
1342840625037783047t	@barbieashdown @leslieh707 Oh my! One doesn’t have to be an expert at reading body language to know he’s covering something up. Depopulation is his game. No CV19 vax for me. No Moderna vax for anyone.	conspiracy		
1412524041613742087t	"...We now see the same problems in a staggering number of people who have received the COVID-19 ""vaccine"" Spike protein also contains reproductive toxicity, and biodegradation data from Pfizer show that it accumulates in the female ovaries."""	ingredients		
1353350460724408323t	@VialliChelseaFC @Chapito141 @Garysonfire @JuliaHB1 @chelseaskin69 @SkyNews However if you want to ignore that then fine, people cannot have the vaccine due to health and religious reasons and those are protected categories so to force to someone to have 	religious		
1423767962880671744t	@ProfPCDoherty This doesn't solve the problem of #LongCovid though. We've fallen a long way from COVID-19 vaccines being protective against disease (recall the 95% efficacy of #Pfizer), to now basically conceding that they're pretty much useless for anyth	ineffective		
1315900722140114945t	Prof. Martin Gore, leading #cancer expert, died suddenly following routine yellow fever #vaccination 💉 Why didn't he die previous time? Who knows. You never can tell when you will lose in this Russian roulette. #LearnTheRisk #WakeUp #VaccineDeath https://t.co/qXn6lNSR7W	side-effect		
1350848190782832640t	"23 (now 29) Senior Citizens Die Soon After Taking #Pfizer #COVID19 #Vaccine In Norway Pfizer has said that the incident is not alarming & “in line with expectations."" Germany,France,US,Israel-all elderly. Why are vaccinations of the elderly continuing? https://t.co/VbWEOZJL7J"	side-effect		
1337274537583337479t	Rushed through, Side effects, complications etc YET, Cancers, diseases etc that have promising results, NOTHING for the next 5/10/20 years...  US experts OK Pfizer coronavirus vaccine			
1374981191288373250t	At first they came for your minds.Fear Then they came for your freedoms. Lockdown. Followed by your rights to earn a living. Then they came for your body.Vaccination Now there coming for your kids bodies. Final part of play is they will own everything you posses including you	conspiracy		
1320489388871241728t	@GOP @SecAzar I’m a nurse and I will NOT take a vaccine for COVID-19 that Donald Trump endorses. #DonTheCon #DonTheSuperSpreader	political		
1314323331177484288t	@Dragonfly_Drama @Jaysims27 This is what they are doing with vaccines, they are pressuring the FDA to allow emergency authorization orders. The FDA says it is fighting back but if they issue EAO then BOOM, trumpwill be screaming he made the vaccines and e	mandatory political		
1365780690692931584t	I’m getting my covid jab tomorrow but I’m thinking of cancelling. Like I have a busy bloody week ahead I can’t afford to be ill because of a vaccine I don’t want. Like just hoe bad are Oxford side effects?	side-effect		
1353392880463831040t	@Aging_Scientist @Beth_E_K 1 in 34 have autism..1 in 3 have allergies..1 in 3 are obese..the old people are living longer i agree n you know why..they got 3 vaccine..only 3 except those who take flu shots..my childtem age 40 now got 20 some ..now it's up 	side-effect		
1284864602195611650t	@ant__76 @thosejays @CP24 Taking a vaccine rushed to market is crazy.. could have bad side effects that arent known as no long term testing to find them..right now I'd rather risk Covid than a non tested vaccine..	rushed side-effect		
1398548191285448706t	"""Lisa developed severe headaches after receiving her AstraZeneca vaccine and fell ill a few days later. She was treated by the intensive care team for blood clots in her head. Tragically she passed away, surrounded by her family, on Friday afternoon."" https://t.co/FjdzZt0SZt"	side-effect		
1285964286288818176t	@tlrd @RandyRainbow when a covid vaccine is ready, Google/YouTube is planning to take down thousands traditionally hosted open discussions around vaccine safety. in tandem with Facebook and Twitter. discussions between all 3 have already taken place. Robe	pharma		
1286677953070264320t	@ProjectLincoln He got one @realDonaldTrump is getting Pfizer to created millions of vaccines that r not yet even proven or auth by FDA At a massive cost to the taxpayer Not the best program but it’s a plan Well sort of Not really #TrumpKillsUs #TrumpVi	rushed		
1344530203243126784t	PFIZER 12 week dose warning. (The foto is supposed to be a volunteer receiving the vaccine, surely it is someone giving blood?) 'no data' in its studies to show its vaccine protects against Covid when taken 12 weeks apart.’ https://t.co/dTREFtb1tu	side-effect		
1306307932183834624t	@davis_bradley1 @andyfurniss @and_kell Probably why the original SARS vaccine, that at least one COVID vaccine is based on, never really worked, as far as I've heard. 🤷‍♀️	ineffective		
1352330106870620160t	@MobilePunch I wait for you and your family to have the vaccine first	none		
1395162637332213761t	@chicagotribune @COVIDOversight This is fine. Americans don't want them. Less than 10 million vaccines administered in the US are Johnson and Johnson. Americans aren't stupid and don't want vaccines that are not effective or safe.	ineffective side-effect		
1262257676878147589t	Oxford vaccine is not so promising. “It is crystal clear that the vaccine did not provide sterilizing immunity to the virus challenge, the gold standard for any vaccine. It may provide partial protection.” @CollignonPeter @EricTopol @jwgale @RenuSwarup https://t.co/DHGmiD9yRU	side-effect		
1303200195082096642t	@MelanieMetz6 @XSOmegaMkII Inovio...look it up as well as Moderna. All 3 of these delivery methods have nano technology that can deliver DNA/RNA gene coding & mutation. This isnt a joke or up for speculation....its way beyond that now. I have leukemia wit	side-effect ingredients conspiracy		
1370325595289235463t	First real world data shows Oxford vaccine causing more side-effects https://t.co/qpQXVwdfhn	side-effect		
1337496523257638915t	on jesus they can keep the covid vaccine far away from me 😂	none		
1428566219158958091t	Federal health officials are investigating emerging reports that the Moderna coronavirus vaccine may be associated with a higher risk of a heart condition called myocarditis in younger adults than previously believed. Pandemrix all over again. https://t.co/5Um22XevTb	side-effect		
1334830242050043908t	@kentlivenews Let's hope Boris Johnson isn't one of those new trainees to stick people with the vaccine. Not a good picture to use.	political		
1187497499709231104t	@JamesrossrJames Nah ... I've gotten 2 flu-shots			
1253363713647788035t	@pepesgrandma @GmanFan45 Still a concern. A dr relative said Chinese reporters shouldn’t be near Pres or VP. Personally don’t like Pres & VP together. Other concern is if they push them to take a vaccine in the fall. There is no way in hell I would le	mandatory		
1371770921887883272t	Bismillah, people need to know that many are getting sick from some types of the vaccines being used. Some but not all Covid-19 shots. We should not try to save the financial viability of any Vaccine maker. --Lost of a bad product is part of their business https://t.co/fgDWOsSs9h	side-effect		
1244538590840963072t	"""This pseudo-scientific, politically-motivated article is nothing but slander. It wants us to die while Big Pharma comes up with an expensive vaccine in a year, so they can get richer, and even implant us with a microchip in the mean time."" https://t.co/IIFFdZydjH"	pharma conspiracy		
1344784977486098432t	@AlexIB20 @Hepworthclare the problem is that the UK will have paid for all the Pfizer vaccine (with your tax) which will then not protect the vulnerable. Departing from the vaccine schedule will mean the vaccine is much less effective. It's like pouring m	ineffective		
1328613793740566528t	Reported that Pfizer CEO sold his millions of shares as the share price rocketed and made a personal fortune of £Millions as a result - nothing altruistic about Pfizer is there -ergo can their vaccine be trusted - highly doubtful.	pharma		
